name,speed,range,rating,reviews,price,emi,extra_details
Komaki TN-95,85 km/Hr,130-150 km/charge,4.7,8,"Rs 1,18,618 * Onwards","EMI starts from ₹3,425",4-5 Hr
Numeros Diplos Max Plus,70 km/Hr,156 km/charge,0.0,0,"Rs 1,20,887 * Onwards","EMI starts from ₹3,498",3-4 Hr
Li-ions Spock Electric Scooter,45 km/Hr,130 km/charge,4.7,2,"Rs 65,000 * Onwards","EMI starts from ₹1,863",4 Hr
Corrit Electric Transit,70 km/Hr,130 km/charge,4.7,5,"Rs 1,29,000 * Onwards","EMI starts from ₹3,727",3.5 Hr
BGauss OoWah,60 km/Hr,145 km/charge,4.5,2,"Rs 94,990 * Onwards","EMI starts from ₹2,763",6.5 Hr
EVeium COSMO,75 km/Hr,100 km/charge,3.9,2,"Rs 1,39,200 * Onwards","EMI starts from ₹4,022",4 Hr
Hayasa Daksha,25 km/Hr,90 km/charge,4.2,2,"Rs 74,050 * Onwards","EMI starts from ₹2,154",N/A
GT RYD Plus,25 km/Hr,90-95 km/charge,3.7,1,"Rs 68,999 * Onwards","EMI starts from ₹1,992",4-5 Hr
OPG Freedum,25 km/Hr,75 km/charge,0.0,0,"Rs 49,999 * Onwards","EMI starts from ₹1,446",5-6 Hr
Aftek Eone,25 km/Hr,70-100 km/charge,0.0,0,"Rs 79,990 * Onwards","EMI starts from ₹2,313",3-4 Hr
Fidato Evtech EasyGo Plus,40 km/Hr,80-110 km/charge,0.0,0,"Rs 95,605 * Onwards","EMI starts from ₹2,750",4-5 Hr
NIJ Automotive Accelero X-Pro,80 km/Hr,54 km/charge,4.9,3,"Rs 58,100 * Onwards","EMI starts from ₹1,674",3-4 Hr
BNC Perfetto,65 km/Hr,55-80 km/charge,0.0,0,"Rs 1,15,000 * Onwards","EMI starts from ₹3,309",4 Hr
White Carbon Motors GT5,50 km/Hr,100-150 km/charge,4.4,5,"Rs 1,25,000 * Onwards","EMI starts from ₹3,598",3-4 Hr
Tunwal E-Boat,25 km/Hr,90-100 km/charge,0.0,0,"Rs 64,993 * Onwards","EMI starts from ₹1,895",4-5 Hr
Sokudo Acute 2.2,70 km/Hr,100 km/charge,0.0,0,"Rs 96,889 * Onwards","EMI starts from ₹2,791",4-5 Hr
Odysse Electric V2,25 km/Hr,150 km/charge,4.0,1,"Rs 77,250 * Onwards","EMI starts from ₹2,225",3.5 Hr
Komaki CAT 2.0 NXT,70 km/Hr,120 km/charge,3.7,1,"Rs 74,999 * Onwards","EMI starts from ₹2,185",4-5 Hr
Avon E Scoot 504,24 km/Hr,65 km/charge,4.4,45,"Rs 66,006 * Onwards","EMI starts from ₹1,896",7-8 Hr
